search_hashtag,video_id,real_video_url,create_time,publish_date,clean_text,author_name,play_count,digg_count
france,7660195789032983552,https://www.tiktok.com/@placeholder/video/7660195789032983552,2026-07-09 06:00:00,,"⚽️🇫🇷 La FIFA a désigné, pour le quart de finale France-Maroc, non pas un, ni trois, mais cinq arbitres argentins. Une désignation inédite depuis le début de la Coupe du monde. Les Bleus, se refusent à céder à « la paranoïa »",TF1 INFO,0,0
france,7660434016599919616,https://www.tiktok.com/@placeholder/video/7660434016599919616,2026-07-09 07:56:37,,"La Cour de cassation ""pourrait"" se prononcer sur le pourvoi de Marine Le Pen contre sa condamnation dans l'affaire des assistants d'eurodéputés du Front national ""au plus tard début avril 2027"", a-t-elle annoncé mercredi 8 juillet. ""Ce calendrier est susceptible d'évoluer en fonction des facteurs procéduraux"", nuance la plus haute instance judiciaire. Le premier tour de l'élection présidentielle doit se tenir le 18 avril 2027. #canal16 #sinformersurtiktok",Franceinfo,0,0
france,7660435607755262976,https://www.tiktok.com/@placeholder/video/7660435607755262976,2026-07-09 08:02:46,,Le feuilleton des odieux propos racistes à l’encontre du capitaine de l’équipe de France s’est invité mercredi à la séance plénière du Sénat au Paraguay. Celle-ci a été marquée par une nouvelle violente insulte de la sénatrice du centre droit. #celesteamarilla #mbappe #paraguay,20 Minutes,0,0
france,7660404346609290240,https://www.tiktok.com/@placeholder/video/7660404346609290240,2026-07-09 06:00:12,,"38 degrés au thermomètre aujourd’hui. Dans ce petit coin de l’Est de la France au climat continental, les hivers sont très rudes et les étés très chauds. Depuis plus de 30 ans, Damien Marcel est passionné d’énergie et de procédés thermiques. Depuis plus de 30 ans, et surtout ces dernières années avec l’urgence climatique, il cherche, imagine et teste. Il y a cinq ans, il a enfin trouvé : une climatisation naturelle, qui fonctionne à partir d’une citerne d’eau de pluie, grâce à un savant système de ventilation. « On a 3-4 degrés de moins qu’une maison normale, » confie Sébastien Gasnier, satisfait de l’installation. En plus d’être efficace, ce mécanisme ingénieux est peu gourmand en énergie, consommant quinze à vingt fois moins qu’une clim normale. A retrouver dans l'émission «Terre des Hommes».",Le Figaro,0,0
france,7660444190655908864,https://www.tiktok.com/@placeholder/video/7660444190655908864,2026-07-09 08:37:02,,c'est reparti pour un cook du monde avec @pralinhery,TikTok France,0,0
france,7660419590366841856,https://www.tiktok.com/@placeholder/video/7660419590366841856,2026-07-09 07:00:10,,#ad Retrouvez le moment EPIQ de la sixième étape du Tour de France 2026 avec Steve Chainel et @skodafrance #TDF2026,Eurosport France,0,0
france,7660451519484922880,https://www.tiktok.com/@placeholder/video/7660451519484922880,2026-07-09 09:04:23,,"climat politique continue de se tendre. Les prises de position de plusieurs responsables alimentent un débat qui pourrait avoir des conséquences sur l’économie, le pouvoir d’achat et les prochaines échéances électorales. Quels sont les véritables enjeux de cette confrontation ? Donnez votre avis dans les commentaires. #actualite #jordanbardella #marinelepen #info",Le révélateur France,0,0
france,7660414981808098304,https://www.tiktok.com/@placeholder/video/7660414981808098304,2026-07-09 06:42:39,,"⚽️ #FIFAWorldCup | 🗣️ ""Je ne vais pas le considérer comme un adversaire""  🇫🇷⚡️🇲🇦 Didier Deschamps a coupé court à toute éventuelle polémique concernant la désignation d'un arbitre argentin pour le quart de finale de la Coupe du monde contre le Maroc. #sportstiktok #football @Equipe de France @FIFA World Cup",France tv sport,0,0
france,7660403546214370304,https://www.tiktok.com/@placeholder/video/7660403546214370304,2026-07-09 05:58:19,,💰 On a demandé aux supporters des Bleus le prix de leur place pour France - Maroc #beinfwc2026 #fifaworldcup #beincdm2026 #morocco #maroc,beIN SPORTS,0,0
france,7660427436634442752,https://www.tiktok.com/@placeholder/video/7660427436634442752,2026-07-09 07:30:29,,"Aya Nakamura, Dj Snake, Théodora... 🪩 Plusieurs stars se sont enchaînées à la cérémonie d'ouverture de l'Esports World Cup qui s'est déroulée à Paris, à la Seine Musicale, le 8 juillet.",ouestfrance,0,0
france,7660414707269897216,https://www.tiktok.com/@placeholder/video/7660414707269897216,2026-07-09 06:41:34,,🇫🇷🔥 Tensions à l'Assemblée nationale ! Emmanuel Bompard intervient lors du débat sur la loi concernant la police. Une prise de parole qui fait réagir. 💬 #EmmanuelBompard #AssembleeNationale #PolitiqueFrancaise #Actualite #Debat,6ièmerépublique,0,0
france,7660447744653282304,https://www.tiktok.com/@placeholder/video/7660447744653282304,2026-07-09 08:49:45,,Réponse à @winger.claude  pour la France Libre #frexitvite🇫🇷,France libre,0,0
